titre,entreprise,lieu,url,contrat,date_publication,description_courte,source,date_scraping
VIE 2026 - Canada - Analyste Coûts Récurrents /Make Analyst - H/F,Airbus,Montreal Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Montreal-Area/VIE-2026---Canada---Analyste-Cots-Rcurrents--Make-Analyst---H-F_JR10394503?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.007252
ALT 2026 - Apprenti(e) Ingénieur Méthodes et Amélioration Continue FAL (ALL GENDER),Airbus,Marseille Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Marseille-Area/ALT-2026---Apprenti-e--Ingnieur-Mthodes-et-Amlioration-Continue-FAL--ALL-GENDER-_JR10390035?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.017038
ATR - Apprenticeship - Flight Operations Engineer,Airbus,Toulouse Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Toulouse-Area/ATR---Apprenticeship---Flight-Operations-Engineer_JR10392920?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.032020
ATR - Apprenticeship - Cabin & Ext Livery Customization Design Engineer,Airbus,Toulouse Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Toulouse-Area/ATR---Apprenticeship---Cabin---Ext-Livery-Customization-Design-Engineer_JR10389068?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.046503
ALT 2026 - Apprenti(e) Ingénieur mécanique : Méthodes de calcul de crash et suivi d'essais (ALL GENDER),Airbus,Marseille Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Marseille-Area/ALT-2026---Apprenti-e--Ingnieur-en-Mthodes-de-calcul-de-crash-et-suivi-d-essais--ALL-GENDER-_JR10390850?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.056318
"ATR - Apprenticeship – Méthodes, Outils & Pilotage de la Performance Customer Line",Airbus,Blagnac (ATR),https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Blagnac-ATR/ATR---Apprenticeship---Mthodes--Outils---Pilotage-de-la-Performance-Customer-Line_JR10394030?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.063976
ALT 2026 - Apprenti(e) ingénieur Support Technique Client NH90 (ALL GENDER),Airbus,Marseille Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Marseille-Area/ALT-2026---Apprenti-e--Support-Technique-Client-NH90--ALL-GENDER-_JR10391744?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.074736
ALT 2026 Apprenti Ingénieur génie industriel & Data Analyse Manufacturing Engineering (f/h),Airbus,Toulouse Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Toulouse-Area/ALT-2026-Apprenti-Ingnieur-gnie-industriel---Data-Analyse-Manufacturing-Engineering--f-h-_JR10391605?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.086316
ATR - Apprenticeship - Programs Performance Improvement,Airbus,Toulouse Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Toulouse-Area/ATR---Apprenticeship----Programs-Performance-Improvement_JR10392678?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.096471
ALT 2026 - Apprenti(e) Ingénieur en Certification Aéronautique (h/f),Airbus,Marseille Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Marseille-Area/ALT-2026---Apprenti-e--Ingnieur-en-Certification-Aronautique--h-f-_JR10392884?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.104613
ALT 2026 - Apprenti(e) Ingénieur IA et Facteurs Humains (ALL GENDER),Airbus,Marseille Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Marseille-Area/ALT-2026---Apprenti-e--Ingnieur-IA-et-Facteurs-Humains--ALL-GENDER-_JR10390996?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.113740
ALT 2026 - Apprenti(e) Ingénieur Commandes de Vol (h/f),Airbus,Marseille Area,https://ag.wd3.myworkdayjobs.com/fr-FR/Airbus/job/Marseille-Area/ALT-2026---Apprenti-e--Ingnieur-dveloppement-systmes-de-commandes-de-vol--F-H-_JR10391480?q=ing%C3%A9nieur,CDI / Autre,"posted on
Offre publiée hier",,airbus-workday,2026-02-28T14:27:34.122107
