titre,entreprise,lieu,url,contrat,date_publication,description_courte,source,date_scraping
INGÉNIEUR RÉSEAUX ELECTRIQUES F/H,EDF,ORMES,https://www.edf.fr/edf-recrute/offre/detail/2025-156699,CDI,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.520993
LEAD VALIDATION LOGICIEL F/H,EDF,Grenoble,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2025-24184,CDI,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.526038
STAGE - INGÉNIEUR QHSE (CONSIGNATION ET MÉTHODE LOTO) F/H,EDF,Jeumont,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2025-24309,Stage,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.531345
STAGE - INGÉNIEUR QHSE (CONFORMITÉ TRAVAUX EN HAUTEUR) F/H,EDF,Jeumont,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2025-24310,Stage,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.536045
STAGE - INGÉNIEUR QHSE (CONFORMITÉ ÉQUIPEMENTS ET PLAN DE CIRCULATION) F/H,EDF,Jeumont,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2025-24312,Stage,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.539418
STAGE - INGÉNIEUR QHSE (CONCEPTION SYSTÈME HSE CENTRALISÉ) F/H,EDF,Jeumont,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2025-24313,Stage,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.542600
STAGE - INGÉNIEUR QHSE (MISE EN CONFORMITÉ VGP ET REGISTRE SÉCURITÉ) F/H,EDF,Jeumont,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2025-24314,Stage,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.546477
INGÉNIEUR.E SYSTÈMES FLUIDES NUCLÉAIRE F/H,EDF,Lyon,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2026-24993,CDI,28 Février 2026,,edf-recrute,2026-02-28T13:49:59.549344
RESPONSABLE TECHNIQUE F/H,EDF,Chalon-sur-Saône,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2026-25117,CDI,,,edf-recrute,2026-02-28T13:49:59.552174
ALTERNANCE - PLANIFICATEUR D'OFFRES ET DE PROJETS F/H,EDF,Saint-Marcel,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2026-25132,Alternance,,,edf-recrute,2026-02-28T13:49:59.555373
ALTERNANCE – CHARGÉ(E) DE RECRUTEMENT ET DÉVELOPPEMENT RH F/H,EDF,Lyon,https://www.edf.fr/edf-recrute/offre/detail/FRA-REC-2026-25231,Alternance,,,edf-recrute,2026-02-28T13:50:09.973987
DATA ANALYST – TRANSFORMATION DIGITALE - ALTERNANCE,EDF,Carrefour pleyel,https://www.edf.fr/edf-recrute/offre/detail/2026-163453,Alternance,27 Février 2026,,edf-recrute,2026-02-28T13:50:09.977810
INGÉNIEUR OU INGÉNIEURE GÉNIE MÉCANIQUE ET/OU MATÉRIAUX - ALTERNANCE,EDF,Carrefour pleyel,https://www.edf.fr/edf-recrute/offre/detail/2026-163454,Alternance,27 Février 2026,,edf-recrute,2026-02-28T13:50:09.983459
ALTERNANCE -APPUIE/APPUI TECHNIQUE-DIPLÔME INGÉNIEUR-NUCLÉAIRE(SAE) F/H,EDF,dampierre en burly,https://www.edf.fr/edf-recrute/offre/detail/2026-157800,Alternance,27 Février 2026,,edf-recrute,2026-02-28T13:50:09.991532
ALTERNANT(E) INGÉNIEUR(E) MAINTENANCE ÉLECTRICITÉ MÉCANIQUE NUCLÉAIRE F/H,EDF,PALUEL 76450,https://www.edf.fr/edf-recrute/offre/detail/2026-160186,Alternance,27 Février 2026,,edf-recrute,2026-02-28T13:50:09.994881
INGÉNIEUR FORMATEUR F/H,EDF,OTTMARSHEIM,https://www.edf.fr/edf-recrute/offre/detail/2026-158504,CDI,27 Février 2026,,edf-recrute,2026-02-28T13:50:09.997941
INGÉNIEUR FORMATEUR F/H,EDF,Sainte Tulle,https://www.edf.fr/edf-recrute/offre/detail/2026-158501,CDI,27 Février 2026,,edf-recrute,2026-02-28T13:50:10.000967
ALTERNANT(E) INGÉNIEUR(E) SÉCURITÉ / TRANSPORT MATIÈRES DANGEREUSES NUCLÉAIRE F/H,EDF,PALUEL 76450,https://www.edf.fr/edf-recrute/offre/detail/2026-160019,Alternance,27 Février 2026,,edf-recrute,2026-02-28T13:50:10.004702
INGÉNIEUR OU INGÉNIEURE IWE - ALTERNANCE,EDF,2 rue ampère saint -denis,https://www.edf.fr/edf-recrute/offre/detail/2026-163458,Alternance,27 Février 2026,,edf-recrute,2026-02-28T13:50:10.007490
STAGE - MÉTHODOLOGIE DE PRÉPARATION TECHNIQUE DES ACTIVITÉS DE MONTAGE MÉCANIQUE POUR EPR2 F/H,EDF,Montrouge,https://www.edf.fr/edf-recrute/offre/detail/2025-151821,Stage,27 Février 2026,,edf-recrute,2026-02-28T13:50:10.010346
