titre,entreprise,lieu,url,date_publication,description_courte,date_scraping,source
Data Analyst H/F,L'Usine Nouvelle,Villeneuve-la-Garenne,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-l-usine-nouvelle-4374529049,2026-02-23,,2026-02-28T13:37:15.511760,linkedin
"Data Analyst - Paris, France (H/F)",Astek,Paris,https://fr.linkedin.com/jobs/view/data-analyst-paris-france-h-f-at-astek-4374529160,2026-02-23,,2026-02-28T13:37:15.556530,linkedin
Data Analyst H/F,Ecomaison,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-ecomaison-4377195939,2026-02-24,,2026-02-28T13:37:15.599736,linkedin
Data Analyst – Dataiku (H/F),Beelix,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-%E2%80%93-dataiku-h-f-at-beelix-4374281454,2026-02-23,,2026-02-28T13:37:15.636637,linkedin
"Data Analyst Finance - Paris, France (H/F)",Astek,Paris,https://fr.linkedin.com/jobs/view/data-analyst-finance-paris-france-h-f-at-astek-4374523405,2026-02-23,,2026-02-28T13:37:15.669014,linkedin
Consultant Data Analyst (F/H),Technology & Strategy,"Île-de-France, France",https://fr.linkedin.com/jobs/view/consultant-data-analyst-f-h-at-technology-strategy-4374241835,2026-02-23,,2026-02-28T13:37:15.705363,linkedin
"Data Analyst, Saint-Ouen, 93 (H/F) – Alternance",Samsung Electronics France,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-saint-ouen-93-h-f-%E2%80%93-alternance-at-samsung-electronics-france-4374754808,2026-02-18,,2026-02-28T13:37:15.737803,linkedin
CDI - Data Analyst (H/F),Hermès,Paris,https://fr.linkedin.com/jobs/view/cdi-data-analyst-h-f-at-herm%C3%A8s-4367838014,2026-02-23,,2026-02-28T13:37:15.768507,linkedin
Data Analyst Supply Chain (F/H),Louis Vuitton,Paris,https://fr.linkedin.com/jobs/view/data-analyst-supply-chain-f-h-at-louis-vuitton-4374780403,2026-02-18,,2026-02-28T13:37:15.798757,linkedin
Data Analyst - Stage - F/H,Epsor,Paris,https://fr.linkedin.com/jobs/view/data-analyst-stage-f-h-at-epsor-4376426093,2026-02-24,,2026-02-28T13:37:15.830145,linkedin
Data Analyst (H/F),Allianz France,Paris,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-allianz-france-4372242248,2026-02-13,,2026-02-28T13:37:15.859812,linkedin
Data Analyst,Coface,Bois-Colombes,https://fr.linkedin.com/jobs/view/data-analyst-at-coface-4361814298,2026-02-09,,2026-02-28T13:37:15.889424,linkedin
Data Analyst,La Fosse,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-at-la-fosse-4376741791,2026-02-25,,2026-02-28T13:37:15.920088,linkedin
Data Analyst Power BI,WHIZE,Neuilly-sur-Seine,https://fr.linkedin.com/jobs/view/data-analyst-power-bi-at-whize-4367255066,2026-01-30,,2026-02-28T13:37:15.949925,linkedin
ALTERNANCE - ASSISTANT.E DATA ANALYST TRANSPORT - SEPTEMBRE 2026,CELINE,Paris,https://fr.linkedin.com/jobs/view/alternance-assistant-e-data-analyst-transport-septembre-2026-at-celine-4377420919,2026-02-24,,2026-02-28T13:37:15.979564,linkedin
"Data Analyst (Apprentice), Paris",Mirakl,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-apprentice-paris-at-mirakl-4375959198,2026-02-27,,2026-02-28T13:37:16.010077,linkedin
Data Analyst Assistant Operations Europe - Stage F/H,Christian Dior Couture,Paris,https://fr.linkedin.com/jobs/view/data-analyst-assistant-operations-europe-stage-f-h-at-christian-dior-couture-4374144525,2026-02-17,,2026-02-28T13:37:16.047178,linkedin
Data Analyst F/H,SOFTEAM,Ville de Paris,https://fr.linkedin.com/jobs/view/data-analyst-f-h-at-softeam-4044551299,2026-01-08,,2026-02-28T13:37:16.078955,linkedin
DATA Analyst H/F,Smile,Asnières-sur-Seine,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-smile-4253235411,2026-02-12,,2026-02-28T13:37:16.114131,linkedin
