titre,entreprise,lieu,url,contrat,date_publication,description_courte,source,date_scraping
Ingénieur Qualité Fournisseur F-H,Safran Seats,"Soliman, Tunisie",https://www.safran-group.com/fr/offres/tunisie/soliman/ingenieur-qualite-fournisseur-fh-168636,CDI,09.02.2026,,safran-group,2026-02-28T14:18:42.509816
Ingénieur ou Ingénieure industrialisation usinage F-H,Safran Ventilation Systems,"Blagnac, Occitanie, France",https://www.safran-group.com/fr/offres/france/blagnac/pilote-industrialisation-mecanique-experimente-e-fh-157406,CDI,28.02.2026,,safran-group,2026-02-28T14:18:42.533257
Ingénieur Industrialisation F-H,Safran Electrical & Power,"Soliman, Tunisie",https://www.safran-group.com/fr/offres/tunisie/soliman/ingenieur-industrialisation-fh-172542,CDI,17.02.2026,,safran-group,2026-02-28T14:18:42.557412
Ingénieur Industrialisation F-H,Safran Electrical & Power,"Soliman, Tunisie",https://www.safran-group.com/fr/offres/tunisie/soliman/ingenieur-industrialisation-fh-172550,CDI,17.02.2026,,safran-group,2026-02-28T14:18:42.572894
Ingénieur Industrialisation F-H,Safran Seats,"Soliman, Tunisie",https://www.safran-group.com/fr/offres/tunisie/soliman/ingenieur-industrialisation-fh-166849,CDI,17.02.2026,,safran-group,2026-02-28T14:18:42.594186
Ingénieur Industrialisation F-H,Safran Cabin,"Dhari, Tunisie",https://www.safran-group.com/fr/offres/tunisie/dhari/ingenieur-industrialisation-fh-166861,CDI,10.02.2026,,safran-group,2026-02-28T14:18:42.607198
Ingénieur Industrialisation F-H,Safran Cabin,"Dhari, Tunisie",https://www.safran-group.com/fr/offres/tunisie/dhari/ingenieur-industrialisation-fh-166863,CDI,10.02.2026,,safran-group,2026-02-28T14:18:42.613772
Ingénieur Industrialisation F-H,Safran Electrical & Power,"Soliman, Tunisie",https://www.safran-group.com/fr/offres/tunisie/soliman/ingenieur-industrialisation-fh-165712,CDI,10.02.2026,,safran-group,2026-02-28T14:18:42.620201
Ingénieur Industrialisation F-H,Safran Electrical & Power,Tunisie,https://www.safran-group.com/fr/offres/tunisie/ingenieur-industrialisation-fh-166845,CDI,10.02.2026,,safran-group,2026-02-28T14:18:42.626027
Ingénieur Industrialisation F-H,Safran Electrical & Power,"Soliman, Tunisie",https://www.safran-group.com/fr/offres/tunisie/soliman/ingenieur-industrialisation-fh-165694,CDI,29.01.2026,,safran-group,2026-02-28T14:18:42.643178
